"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-26","2.01","0.00","0.0","0.0",,"89","72",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-27","8.28","0.44","0.0","0.0",,"80","56","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-28","1.79","0.00","0.0","0.0",,"69","56",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-29","1.12","0.00","0.0","0.0",,"89","63","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-30","2.24","0.00","0.0","0.0",,"78","61","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-31","2.01","0.10","0.0","0.0",,"68","63","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-01","0.89","0.27","0.0","0.0",,"81","65","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-02","3.80","0.08","0.0","0.0",,"87","66","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-03","5.82","0.25","0.0","0.0",,"66","51","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-04","3.80","0.16","0.0","0.0",,"71","51","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-05","3.80","0.00","0.0","0.0",,"75","58","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-06","2.68","0.00","0.0","0.0",,"71","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-07","2.46","0.00","0.0","0.0",,"71","60",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-08","2.91","0.00","0.0","0.0",,"82","60",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-09","1.79","0.00","0.0","0.0",,"83","67",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-10","1.12","0.01","0.0","0.0",,"73","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-11","3.13","0.00","0.0","0.0",,"73","58",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-12","3.36","0.00","0.0","0.0",,"75","57",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-13","3.58","0.04","0.0","0.0",,"78","63","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-14","6.93","0.00","0.0","0.0",,"84","67",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-15","3.13","0.00","0.0","0.0",,"76","63",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-16","2.24","0.00","0.0","0.0",,"85","64",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-17","1.79","0.00","0.0","0.0",,"91","66",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-18","5.59","0.08","0.0","0.0",,"91","73","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-19","3.80","0.07","0.0","0.0",,"88","75","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-20","1.57","0.09","0.0","0.0",,"83","69","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-21","2.01","0.59","0.0","0.0",,"83","65","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-22","4.70","0.10","0.0","0.0",,"75","62","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-23","4.92","0.00","0.0","0.0",,"66","62",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-24","2.24","0.00","0.0","0.0",,"84","66","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-25","4.92","0.00","0.0","0.0",,"81","67",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-26","3.80","0.00","0.0","0.0",,"78","61",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-27","3.58","0.01","0.0","0.0",,"73","66","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-28","2.91","1.36","0.0","0.0",,"83","70","    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-29","2.68","0.00","0.0","0.0",,"89","70",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-30","2.24","0.00","0.0","0.0",,"93","72",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07-01","2.91","0.00","0.0","0.0",,"96","79",,,,,,
